Rank,Country,GDP - per capita (PPP),Year of Information
1,Monaco?,"£190,513.00",2019
3,Macau?,"£123,965.00",2019
5,Singapore?,"£97,341.00",2019
6,Qatar?,"£90,044.00",2019
7,Ireland?,"£86,781.00",2019
9,Bermuda?,"£81,798.00",2019
12,Switzerland?,"£68,628.00",2019
13,United Arab Emirates?,"£67,119.00",2019
14,Norway?,"£63,633.00",2019
15,United States?,"£62,530.00",2019
16,Brunei?,"£62,100.00",2019
18,Hong Kong?,"£59,848.00",2019
20,Denmark?,"£57,804.00",2019
21,Netherlands?,"£56,935.00",2019
23,Austria?,"£56,188.00",2019
24,Iceland?,"£55,874.00",2019
25,Germany?,"£53,919.00",2019
26,Sweden?,"£53,240.00",2019
28,Belgium?,"£51,934.00",2019
31,Australia?,"£49,854.00",2019
32,Kuwait?,"£49,854.00",2019
33,Canada?,"£49,031.00",2019
34,Finland?,"£48,668.00",2019
35,Saudi Arabia?,"£46,962.00",2019
36,United Kingdom?,"£46,659.00",2019
38,France?,"£46,184.00",2019
39,Bahrain?,"£45,011.00",2019
40,EU?,"£44,436.00",2019
41,Malta?,"£44,032.00",2019
42,New Zealand?,"£42,888.00",2019
43,South Korea?,"£42,765.00",2019
44,Italy?,"£42,492.00",2019
46,Japan?,"£41,429.00",2019
47,Spain?,"£40,903.00",2019
48,Czech Republic?,"£40,862.00",2019
49,Israel?,"£40,145.00",2019
51,Cyprus?,"£39,545.00",2019
52,Slovenia?,"£39,088.00",2019
54,Lithuania?,"£37,231.00",2019
55,Bahamas?,"£37,101.00",2019
57,Estonia?,"£36,927.00",2019
60,Portugal?,"£34,894.00",2019
61,Puerto Rico?,"£34,518.00",2019
63,Poland?,"£33,221.00",2019
64,Hungary?,"£32,945.00",2019
65,Slovakia?,"£32,730.00",2019
66,Panama?,"£31,459.00",2019
68,Latvia?,"£30,898.00",2019
69,Romania?,"£29,941.00",2019
70,Greece?,"£29,799.00",2019
71,Turks and Caicos Islands,"£29,253.00",2019
72,Seychelles?,"£29,223.00",2019
73,Croatia?,"£28,602.00",2019
74,Turkey?,"£28,424.00",2019
75,Malaysia?,"£28,364.00",2019
76,Oman?,"£27,299.00",2019
77,Russia?,"£27,044.00",2019
78,Saint Kitts and Nevis?,"£26,438.00",2019
79,Kazakhstan?,"£26,351.00",2019
80,Trinidad and Tobago?,"£26,176.00",2019
82,Curaçao?,"£24,479.00",2019
83,Chile?,"£24,226.00",2019
84,Bulgaria?,"£23,174.00",2019
85,Mauritius?,"£22,870.00",2019
86,Argentina?,"£22,064.00",2019
87,Antigua and Barbuda?,"£21,910.00",2019
88,Uruguay?,"£21,561.00",2019
89,Montenegro?,"£21,470.00",2019
90,Mexico?,"£19,796.00",2019
91,Costa Rica?,"£19,642.00",2019
92,Maldives?,"£19,531.00",2019
94,Belarus?,"£19,150.00",2019
95,Equatorial Guinea?,"£18,558.00",2019
