Rank,Country,Life expectancy at birth,Date of Information,,,,,,,,,,,,
1,Hong Kong, 84.9 ,2020,,,,,,,,,,,,
2,Japan, 84.6 ,2020,,,,,,,,,,,,
3,Switzerland, 83.8 ,2020,,,,,,,,,,,,
4,Singapore, 83.6 ,2020,,,,,,,,,,,,
5,Spain, 83.5 ,2020,,,,,,,,,,,,
6,Italy, 83.4 ,2020,,,,,,,,,,,,
7,Australia, 83.4 ,2020,,,,,,,,,,,,
8,Iceland, 83.0 ,2020,,,,,,,,,,,,
9,Israel, 83.0 ,2020,,,,,,,,,,,,
10,South Korea, 83.0 ,2020,,,,,,,,,,,,
11,Sweden, 82.8 ,2020,,,,,,,,,,,,
12,France, 82.7 ,2020,,,,,,,,,,,,
13,Malta, 82.5 ,2020,,,,,,,,,,,,
14,Norway, 82.4 ,2020,,,,,,,,,,,,
15,Canada, 82.4 ,2020,,,,,,,,,,,,
16,Ireland, 82.3 ,2020,,,,,,,,,,,,
17,Netherlands, 82.3 ,2020,,,,,,,,,,,,
18,New Zealand, 82.3 ,2020,,,,,,,,,,,,
19,Luxembourg, 82.3 ,2020,,,,,,,,,,,,
20,Greece, 82.2 ,2020,,,,,,,,,,,,
21,Portugal, 82.1 ,2020,,,,,,,,,,,,
22,Finland, 81.9 ,2020,,,,,,,,,,,,
23,Andorra, 81.9 ,2020,,,,,,,,,,,,
24,Belgium, 81.6 ,2020,,,,,,,,,,,,
25,Austria, 81.5 ,2020,,,,,,,,,,,,
26,Germany, 81.3 ,2020,,,,,,,,,,,,
27,United Kingdom, 81.3 ,2020,,,,,,,,,,,,
28,Slovenia, 81.3 ,2020,,,,,,,,,,,,
29,Cyprus, 81.0 ,2020,,,,,,,,,,,,
30,Denmark, 80.9 ,2020,,,,,,,,,,,,
31,Liechtenstein, 80.7 ,2020,,,,,,,,,,,,
32,Costa Rica, 80.3 ,2020,,,,,,,,,,,,
33,Chile, 80.2 ,2020,,,,,,,,,,,,
34,Qatar, 80.2 ,2020,,,,,,,,,,,,
35,Czech Republic, 79.4 ,2020,,,,,,,,,,,,
36,Barbados, 79.2 ,2020,,,,,,,,,,,,
37,United States, 79.1 ,2020,,,,,,,,,,,,
38,Lebanon, 78.9 ,2020,,,,,,,,,,,,
39,Maldives, 78.9 ,2020,,,,,,,,,,,,
40,Estonia, 78.8 ,2020,,,,,,,,,,,,
41,Cuba, 78.8 ,2020,,,,,,,,,,,,
42,Poland, 78.7 ,2020,,,,,,,,,,,,
43,Albania, 78.6 ,2020,,,,,,,,,,,,
44,Croatia, 78.5 ,2020,,,,,,,,,,,,
45,Panama, 78.5 ,2020,,,,,,,,,,,,
46,Dominica, 78.2 ,2020,,,,,,,,,,,,
47,United Arab Emirates, 78.0 ,2020,,,,,,,,,,,,
48,Uruguay, 77.9 ,2020,,,,,,,,,,,,
49,Oman, 77.9 ,2020,,,,,,,,,,,,
50,Turkey, 77.7 ,2020,,,,,,,,,,,,
51,Slovakia, 77.5 ,2020,,,,,,,,,,,,
52,Bosnia and Herzegovina, 77.4 ,2020,,,,,,,,,,,,
53,Bahrain, 77.3 ,2020,,,,,,,,,,,,
54,Colombia, 77.3 ,2020,,,,,,,,,,,,
55,Thailand, 77.2 ,2020,,,,,,,,,,,,
56,Sri Lanka, 77.0 ,2020,,,,,,,,,,,,
57,Antigua and Barbuda, 77.0 ,2020,,,,,,,,,,,,
58,Ecuador, 77.0 ,2020,,,,,,,,,,,,
59,Hungary, 76.9 ,2020,,,,,,,,,,,,
60,Montenegro, 76.9 ,2020,,,,,,,,,,,,
61,China, 76.9 ,2020,,,,,,,,,,,,
62,Algeria, 76.9 ,2020,,,,,,,,,,,,
63,Argentina, 76.7 ,2020,,,,,,,,,,,,
64,Iran, 76.7 ,2020,,,,,,,,,,,,
65,Peru, 76.7 ,2020,,,,,,,,,,,,
66,Tunisia, 76.7 ,2020,,,,,,,,,,,,
67,Morocco, 76.7 ,2020,,,,,,,,,,,,
68,Malaysia, 76.2 ,2020,,,,,,,,,,,,
69,Saint Lucia, 76.2 ,2020,,,,,,,,,,,,
70,Romania, 76.1 ,2020,,,,,,,,,,,,
71,Serbia, 76.0 ,2020,,,,,,,,,,,,
72,Lithuania, 75.9 ,2020,,,,,,,,,,,,
73,Brunei, 75.9 ,2020,,,,,,,,,,,,
74,Brazil, 75.9 ,2020,,,,,,,,,,,,
75,North Macedonia, 75.8 ,2020,,,,,,,,,,,,
76,Latin America and the Caribbean, 75.6 ,2020,,,,,,,,,,,,
77,Kuwait, 75.5 ,2020,,,,,,,,,,,,
78,Vietnam, 75.4 ,2020,,,,,,,,,,,,
79,East Asia and the Pacific, 75.4 ,2020,,,,,,,,,,,,
80,Latvia, 75.3 ,2020,,,,,,,,,,,,
81,Honduras, 75.3 ,2020,,,,,,,,,,,,
82,Saudi Arabia, 75.1 ,2020,,,,,,,,,,,,
83,Bulgaria, 75.1 ,2020,,,,,,,,,,,,
84,Mexico, 75.1 ,2020,,,,,,,,,,,,
85,Armenia, 75.1 ,2020,,,,,,,,,,,,
86,Mauritius, 75.0 ,2020,,,,,,,,,,,,
87,Belarus, 74.8 ,2020,,,,,,,,,,,,
88,Saint Kitts and Nevis, 74.8 ,2020,,,,,,,,,,,,
89,Belize, 74.6 ,2020,,,,,,,,,,,,
90,Jamaica, 74.5 ,2020,,,,,,,,,,,,
91,Jordan, 74.5 ,2020,,,,,,,,,,,,
92,Nicaragua, 74.5 ,2020,,,,,,,,,,,,
93,Europe and Central Asia, 74.4 ,2020,,,,,,,,,,,,
94,Paraguay, 74.3 ,2020,,,,,,,,,,,,
95,Guatemala, 74.3 ,2020,,,,,,,,,,,,
96,Dominican Republic, 74.1 ,2020,,,,,,,,,,,,
97,Palestine, 74.1 ,2020,,,,,,,,,,,,
